question_id,category,temporal_sensitive,method,faithfulness,answer_relevancy,context_precision,keyword_overlap,answer_length,has_statistics,avg_source_year,retrieve_ms,rerank_ms,generate_ms,total_ms
1,guidelines,True,no_decay,0.0,1.0,0.0,0.294,1401,1,2022.4,3109.85,0.17,12701.78,15825.7
1,guidelines,True,etvd,,,,0.353,1316,1,2022.4,130.81,0.15,9161.18,9319.6
1,guidelines,True,sigmoid,,0.9796,,0.294,1578,1,2021.8,170.07,0.12,11021.52,11215.7
1,guidelines,True,bioscore,,1.0,,0.294,1138,1,2023.0,88.16,15.73,10172.04,10302.6
2,guidelines,True,no_decay,,1.0,,0.389,1922,1,2022.6,190.68,0.16,15271.64,15489.5
2,guidelines,True,etvd,,1.0,,0.444,2053,1,2022.6,204.73,0.29,13840.08,14108.9
2,guidelines,True,sigmoid,,,,0.5,1919,1,2022.6,387.23,4.01,13845.56,14329.3
2,guidelines,True,bioscore,0.0,1.0,0.0,0.389,1609,1,2022.8,2477.23,22.39,13385.45,15968.7
3,general,False,no_decay,0.1429,0.6545,0.0,0.375,1508,1,2023.0,386.0,1.36,11922.25,12359.3
3,general,False,etvd,0.3333,1.0,0.0,0.5,935,1,2023.0,68.11,0.15,7425.17,7528.2
3,general,False,sigmoid,0.4286,1.0,0.0,0.375,936,1,2023.4,57.68,0.55,6930.8,7010.8
3,general,False,bioscore,,,,0.5,911,1,2023.8,75.35,4.32,6786.55,6894.2
4,biomarkers,False,no_decay,0.0,,,0.312,1460,1,2022.2,97.78,0.16,10748.09,10877.6
4,biomarkers,False,etvd,0.0,0.9625,0.0,0.375,1545,1,2022.2,83.65,0.16,11805.34,11929.8
4,biomarkers,False,sigmoid,0.0,0.9669,0.0,0.25,1995,1,2022.2,82.28,0.78,14353.48,14450.2
4,biomarkers,False,bioscore,0.0,,0.0,0.438,1310,1,2022.6,83.78,0.59,9486.52,9589.0
5,treatment,False,no_decay,,1.0,0.0,0.188,1899,1,2021.4,212.61,0.11,13542.42,13781.2
5,treatment,False,etvd,0.0,,,0.188,1882,1,2021.4,66.22,0.1,14192.2,14272.9
5,treatment,False,sigmoid,0.0,0.9863,0.0,0.25,1941,1,2021.4,75.33,2.04,16075.53,16187.6
5,treatment,False,bioscore,0.1429,0.9376,0.0,0.188,1762,1,2021.4,94.49,3.85,14744.74,14879.9
6,guidelines,True,no_decay,0.0526,0.9395,0.0,0.263,1169,1,2023.4,126.21,0.91,10251.9,10396.1
6,guidelines,True,etvd,0.4,0.0,0.0,0.105,707,1,2023.4,83.81,0.14,5964.27,6077.3
6,guidelines,True,sigmoid,0.0,,,0.316,1227,1,2022.0,98.11,0.2,10016.08,10160.8
6,guidelines,True,bioscore,0.0,,,0.263,1280,1,2023.6,91.11,0.64,10177.08,10300.8
7,devices,False,no_decay,,,,0.375,1377,1,2021.6,124.71,0.22,10183.99,10347.0
7,devices,False,etvd,,,,0.438,1782,1,2021.6,83.35,0.2,15153.02,15267.3
7,devices,False,sigmoid,,,,0.5,1534,1,2021.6,91.83,0.17,12906.3,13028.5
7,devices,False,bioscore,,,,0.25,1057,1,2023.0,99.92,0.59,8464.9,8599.5
8,trials,False,no_decay,0.0,0.907,0.0,0.562,1887,1,2022.4,142.3,0.17,18153.01,18322.9
8,trials,False,etvd,0.0,0.9209,0.0,0.562,1559,1,2022.4,147.81,0.17,12580.86,12766.7
8,trials,False,sigmoid,0.0,0.8842,0.0,0.5,1467,1,2022.4,83.61,0.17,13765.42,13905.3
8,trials,False,bioscore,0.0,0.897,0.0,0.5,1737,1,2022.4,110.68,0.79,14027.47,14166.4
9,trials,False,no_decay,0.5,0.9552,0.0,0.412,2099,1,2019.4,109.3,0.23,16138.8,16275.8
9,trials,False,etvd,0.25,0.9976,,0.353,1568,1,2019.4,94.83,0.16,11103.9,11223.8
9,trials,False,sigmoid,,0.9976,0.0,0.529,2011,1,2019.4,898.75,2.96,17679.87,18826.6
9,trials,False,bioscore,0.4444,0.9689,1.0,0.412,1407,1,2019.4,635.11,12.12,12708.95,13465.1
10,general,False,no_decay,0.0,0.9262,0.0,0.444,1714,1,2022.8,277.78,6.85,15620.45,15963.3
10,general,False,etvd,0.0588,0.9675,0.0,0.5,1757,1,2022.8,195.67,0.38,11925.41,12184.1
10,general,False,sigmoid,0.0,0.929,0.0,0.5,1624,1,2022.8,275.68,2.31,11551.64,11884.5
10,general,False,bioscore,0.0,0.9729,0.0,0.5,2013,1,2023.0,224.89,1.11,14664.97,14927.2
11,devices,True,no_decay,0.0,0.8864,0.0,0.2,1626,1,2022.2,219.15,0.51,13593.43,13861.0
11,devices,True,etvd,0.0,,,0.2,1556,1,2022.2,193.33,0.39,11954.88,12214.6
11,devices,True,sigmoid,0.0,,,0.133,1525,1,2022.2,194.84,0.53,11842.7,12091.7
11,devices,True,bioscore,0.0,0.8628,0.0,0.267,1661,1,2022.2,244.55,1.07,13054.46,13350.8
12,treatment,False,no_decay,,1.0,,0.222,1324,1,2021.2,223.75,0.61,9029.14,9293.3
12,treatment,False,etvd,0.8333,0.9736,0.0,0.222,1384,1,2021.2,561.46,0.92,10890.19,11493.7
12,treatment,False,sigmoid,0.2941,0.9316,0.0,0.167,1857,1,2022.4,4251.14,3.82,13237.52,18118.7
12,treatment,False,bioscore,0.5333,0.9717,0.5,0.222,1327,1,2022.4,284.58,8.91,9383.49,9713.8
13,biomarkers,False,no_decay,0.1,0.9949,0.0,0.471,1386,1,2023.6,313.39,2.02,10564.39,10939.6
13,biomarkers,False,etvd,0.0625,1.0,0.0,0.471,1842,1,2023.6,225.15,0.51,13164.12,13454.7
13,biomarkers,False,sigmoid,0.0,0.7485,0.0,0.471,997,1,2023.2,232.6,0.56,8087.06,8370.0
13,biomarkers,False,bioscore,0.0,1.0,0.0,0.471,910,1,2024.2,245.64,2.74,7904.78,8201.0
14,comorbidities,False,no_decay,0.6667,0.8765,1.0,0.13,1469,1,2020.6,272.89,0.37,10340.23,10653.3
14,comorbidities,False,etvd,0.5714,0.9778,0.8333,0.174,1619,1,2020.6,549.73,0.36,12154.48,12768.4
14,comorbidities,False,sigmoid,0.7273,0.8765,0.0,0.217,1683,1,2022.2,195.97,0.52,13471.91,13721.7
14,comorbidities,False,bioscore,,1.0,,0.304,2145,1,2024.4,214.32,2.54,15709.62,15980.4
15,guidelines,True,no_decay,0.0,0.9428,0.0,0.0,1092,1,2022.6,1625.69,0.13,9009.2,10722.1
15,guidelines,True,etvd,0.0,0.8693,0.0,0.0,1023,1,2022.6,411.75,1.07,9967.49,10595.9
